vacuum
lam[mu]  n       k  
       1.8793168      1.00000      0.00000
       1.8879913      1.00000      0.00000
       1.8967059      1.00000      0.00000
       1.9054607      1.00000      0.00000
       1.9142559      1.00000      0.00000
       1.9230917      1.00000      0.00000
       1.9319683      1.00000      0.00000
       1.9408859      1.00000      0.00000
       1.9498446      1.00000      0.00000
       1.9588447      1.00000      0.00000
       1.9678863      1.00000      0.00000
       1.9769696      1.00000      0.00000
       1.9860949      1.00000      0.00000
       1.9952623      1.00000      0.00000
       2.0044720      1.00000      0.00000
       2.0137242      1.00000      0.00000
       2.0230192      1.00000      0.00000
       2.0323570      1.00000      0.00000
       2.0417379      1.00000      0.00000
       2.0511622      1.00000      0.00000
       2.0606299      1.00000      0.00000
       2.0701413      1.00000      0.00000
       2.0796967      1.00000      0.00000
       2.0892961      1.00000      0.00000
       2.0989399      1.00000      0.00000
       2.1086281      1.00000      0.00000
       2.1183611      1.00000      0.00000
       2.1281390      1.00000      0.00000
       2.1379621      1.00000      0.00000
       2.1478305      1.00000      0.00000
       2.1577444      1.00000      0.00000
       2.1677041      1.00000      0.00000
       2.1777098      1.00000      0.00000
       2.1877616      1.00000      0.00000
       2.1978599      1.00000      0.00000
       2.2080047      1.00000      0.00000
       2.2181964      1.00000      0.00000
       2.2284351      1.00000      0.00000
       2.2387211      1.00000      0.00000
       2.2490546      1.00000      0.00000
       2.2594358      1.00000      0.00000
       2.2698649      1.00000      0.00000
       2.2803421      1.00000      0.00000
       2.2908677      1.00000      0.00000
       2.3014418      1.00000      0.00000
       2.3120648      1.00000      0.00000
       2.3227368      1.00000      0.00000
       2.3334581      1.00000      0.00000
       2.3442288      1.00000      0.00000
       2.3550493      1.00000      0.00000
       2.3659197      1.00000      0.00000
       2.3768403      1.00000      0.00000
       2.3878113      1.00000      0.00000
       2.3988329      1.00000      0.00000
       2.4099054      1.00000      0.00000
       2.4210290      1.00000      0.00000
       2.4322040      1.00000      0.00000
       2.4434306      1.00000      0.00000
       2.4547089      1.00000      0.00000
       2.4660393      1.00000      0.00000
       2.4774221      1.00000      0.00000
       2.4888573      1.00000      0.00000
       2.5003454      1.00000      0.00000
       2.5118864      1.00000      0.00000
       2.5234808      1.00000      0.00000
       2.5351286      1.00000      0.00000
       2.5468303      1.00000      0.00000
       2.5585859      1.00000      0.00000
       2.5703958      1.00000      0.00000
       2.5822602      1.00000      0.00000
       2.5941794      1.00000      0.00000
       2.6061535      1.00000      0.00000
       2.6181830      1.00000      0.00000
       2.6302680      1.00000      0.00000
       2.6424088      1.00000      0.00000
       2.6546056      1.00000      0.00000
       2.6668587      1.00000      0.00000
       2.6791683      1.00000      0.00000
       2.6915348      1.00000      0.00000
       2.7039584      1.00000      0.00000
       2.7164393      1.00000      0.00000
       2.7289778      1.00000      0.00000
       2.7415742      1.00000      0.00000
       2.7542287      1.00000      0.00000
       2.7669416      1.00000      0.00000
       2.7797133      1.00000      0.00000
       2.7925438      1.00000      0.00000
       2.8054336      1.00000      0.00000
       2.8183829      1.00000      0.00000
       2.8313920      1.00000      0.00000
       2.8444611      1.00000      0.00000
       2.8575905      1.00000      0.00000
       2.8707806      1.00000      0.00000
       2.8840315      1.00000      0.00000
       2.8973436      1.00000      0.00000
       2.9107171      1.00000      0.00000
       2.9241524      1.00000      0.00000
       2.9376497      1.00000      0.00000
       2.9512092      1.00000      0.00000
       2.9648314      1.00000      0.00000
       2.9785164      1.00000      0.00000
       2.9922646      1.00000      0.00000
       3.0060763      1.00000      0.00000
       3.0199517      1.00000      0.00000
       3.0338912      1.00000      0.00000
       3.0478950      1.00000      0.00000
       3.0619634      1.00000      0.00000
       3.0760968      1.00000      0.00000
       3.0902954      1.00000      0.00000
       3.1045596      1.00000      0.00000
       3.1188896      1.00000      0.00000
       3.1332857      1.00000      0.00000
       3.1477483      1.00000      0.00000
       3.1622777      1.00000      0.00000
       3.1768741      1.00000      0.00000
       3.1915379      1.00000      0.00000
       3.2062693      1.00000      0.00000
       3.2210688      1.00000      0.00000
       3.2359366      1.00000      0.00000
       3.2508730      1.00000      0.00000
       3.2658783      1.00000      0.00000
       3.2809529      1.00000      0.00000
       3.2960971      1.00000      0.00000
       3.3113112      1.00000      0.00000
       3.3265955      1.00000      0.00000
       3.3419504      1.00000      0.00000
       3.3573761      1.00000      0.00000
       3.3728731      1.00000      0.00000
       3.3884416      1.00000      0.00000
       3.4040819      1.00000      0.00000
       3.4197944      1.00000      0.00000
       3.4355795      1.00000      0.00000
       3.4514374      1.00000      0.00000
       3.4673685      1.00000      0.00000
       3.4833732      1.00000      0.00000
       3.4994517      1.00000      0.00000
       3.5156044      1.00000      0.00000
       3.5318317      1.00000      0.00000
       3.5481339      1.00000      0.00000
       3.5645113      1.00000      0.00000
       3.5809644      1.00000      0.00000
       3.5974934      1.00000      0.00000
       3.6140986      1.00000      0.00000
       3.6307805      1.00000      0.00000
       3.6475395      1.00000      0.00000
       3.6643757      1.00000      0.00000
       3.6812897      1.00000      0.00000
       3.6982818      1.00000      0.00000
       3.7153523      1.00000      0.00000
       3.7325016      1.00000      0.00000
